"Assemblage","ID","N..scars","Flaking.Length","Width.at.Midpoint","Proximal.Width","Distal.Width","Thickness.at.midpoint","Platform.Width","Platform.Thickness"
"Wusta","256",3,37.35,43.52,38.27,4.91,12.98,41.22,17.14
"Wusta","200",6,46.22,35.42,24.16,11.3,11.83,32.77,12.37
"Wusta","91",6,38.12,32.79,29.25,28.85,11.7,11.09,4.45
"Wusta","185",3,43.32,29.68,23.91,21.57,9.06,17.96,8.64
"Wusta","51",7,43.67,34.62,17.38,22.57,9.04,10.32,2.95
"Wusta","106",5,28.1,17.64,18.31,11.34,4.3,15.48,4.51
"Wusta","112",3,33.88,34.19,26.76,23.92,7.64,27.26,6.56
"Wusta","71",8,41.39,26.23,24.73,17.56,5.18,19.22,3.65
"Wusta","0.86",4,66.3,34.52,22.43,22.88,7.91,9.85,3.59
"Wusta","181",7,56.99,32.2,19.26,20.48,7.85,9.08,3.24
"Kebara X","370",6,51.12,25.59,32.91,10.3,5.76,26.12,3.48
"Kebara X","287",5,58.95,34.46,36.3,3.6,9.74,26.7,7.29
"Kebara X","452",5,39.91,30.89,27.8,4.1,6.71,24.78,3.69
"Kebara X","174",5,39.22,36.36,33.62,4.2,4.79,26.07,5.16
"Kebara X","55",5,65.31,26.84,28.54,17.97,5.05,21.5,3.67
"Kebara X","464",3,43.73,27.68,31.53,1,6.05,31.76,4.05
"Kebara X","460",5,59.17,27.65,23.97,7.8,8.45,22.53,6.12
"Kebara X","171",5,43.86,22.02,12.15,5,4.66,7.15,2.38
"Kebara X","260",5,30.56,30.9,17.2,1.3,7.04,15.99,4.52
"Kebara X","196",9,55.29,24.55,40.79,2.56,5.22,36.16,6.68
"Kebara X","248",4,61.13,56.81,39.9,15.2,11.52,18.08,4.58
"Kebara X","324",4,39.72,29.11,34.3,2.8,4.27,34.41,8.35
"Kebara X","261",5,54.26,14.82,17.02,4.7,4.88,14.95,2.73
"Kebara X","497",4,79.71,30.16,22.66,8,5.62,18.38,2.73
"Kebara X","225",4,36.28,21.42,21.17,2.7,5.45,15.38,3.71
"Kebara X","239",4,69.15,32.61,28.59,25.1,7.21,16.62,5.18
"Kebara X","253",4,86.22,27.73,29.66,1.9,7.78,26.03,5.95
"Kebara X","180",3,47.1,30.78,38.99,3.2,7.19,39.04,7.11
"Kebara X","151",4,35.94,27.03,19.17,7.9,3.55,17.52,4.44
"Kebara X","154",3,44.75,25.22,22.12,11.07,7.2,18.12,4.76
"Kebara X","31",4,36.7,31.62,40.4,29.22,6.21,36.04,2.69
"Kebara X","273",3,48.47,26.29,27.55,4.6,4.82,25.67,6.12
"Kebara X","253",3,35.98,26.01,29.28,4.4,3.65,27.75,3.37
"Kebara X","200",2,32.46,21.88,19,5.2,4.62,19.29,6.45
"Kebara X","120",10,60.06,30.1,18.14,16.66,8.77,12.56,5.04
"Kebara X","432",3,44.54,30.21,31.74,7.6,3.45,20.53,3.18
"Kebara X","362",3,49.78,32.75,46.92,16.6,7.56,46.74,6.72
"Kebara X","889",3,48.63,34.92,35.13,7.16,3.62,34.4,4.39
"Kebara X","353",4,44.49,19.18,27.11,1.6,6.19,20.68,6.87
"Kebara X","349",6,63.44,40.22,39.22,12.7,8.67,38.54,6.72
"Kebara X","280",5,61.87,26.18,33.09,16.72,7.31,32.87,5.1
"Kebara X","428",4,49.9,20.95,31.73,2.2,6.29,30.62,3.96
"Kebara X","347",4,42.07,27.78,31.31,8.3,6.55,30.72,3.94
"Kebara X","473",3,38,18.21,26.18,1.6,4.71,26.17,6.34
"Kebara X","258",5,40.02,29.9,37.02,1.6,6.83,28.99,7.05
"Kebara X","308",4,39.41,21.05,23.93,2.1,4.46,22.56,4.78
"Kebara X","369",4,56.74,25.2,27.43,1.7,7.03,19.57,4.88
"Kebara X","313",4,45.5,20.56,24.84,3.52,5.36,12.98,4.66
"Kebara X","458",3,54.29,16.24,18.42,4.1,4.21,15.07,7.07
"Kebara X","523",6,50.72,41.88,41.9,3.5,6.61,41.43,7.39
"Kebara X","107",2,32.28,28.43,30.43,10.48,2.34,25.62,2.66
"Kebara X","895",2,81.39,28.56,39.43,9.7,6.91,36.34,8.19
"Kebara X","1308",6,76.03,30.54,23.76,5.1,7.77,17.84,6.81
"Kebara X","181",4,55.29,34.8,29.73,1.9,6.17,28.71,5.33
"Kebara X","244",4,43.2,31.29,42.02,6.9,10.72,40.53,6.72
"Kebara X","209",2,35.63,22,35.7,1.6,4.71,35.47,4.29
"Kebara X","216",4,33.58,22.41,32.85,0.9,6.82,32.73,4.66
"Kebara X","391",6,48.84,47.77,60.95,7.2,11.6,61.18,8.29
"Kebara X","118",5,39.31,24.74,21.54,6.1,4.71,15.84,3.17
"Kebara X","40",4,44.98,29.32,31.03,23.67,3.52,23.12,5.67
